M,freq_eps_1,freq_eps_0.5,freq_eps_0.6666666666666666,freq_eps_0.75,freq_eps_1.25
8.94841,6.887321656381683e+23,1.3774643312763366e+24,1.0330982484572525e+24,9.183095541842245e+23,5.5098573251053466e+23
15.893,1.223236341259219e+24,2.446472682518438e+24,1.834854511888829e+24,1.6309817883456256e+24,9.785890730073753e+23
38.3877,2.954585647603129e+24,5.909171295206258e+24,4.4318784714046935e+24,3.9394475301375055e+24,2.363668518082503e+24
3.72862,2.8698065102535392e+23,5.7396130205070785e+23,4.304709765380309e+23,3.8264086803380525e+23,2.295845208202831e+23
2.74718,2.1144217026241122e+23,4.2288434052482244e+23,3.1716325539361687e+23,2.81922893683215e+23,1.69153736209929e+23
18.4023,1.4163696044015937e+24,2.8327392088031873e+24,2.1245544066023908e+24,1.8884928058687918e+24,1.133095683521275e+24
65.3239,5.027783831421576e+24,1.0055567662843152e+25,7.541675747132363e+24,6.703711775228768e+24,4.02222706513726e+24
11.2912,8.690496555984456e+23,1.7380993111968912e+24,1.3035744833976685e+24,1.1587328741312609e+24,6.952397244787564e+23
3.58678,2.760636534387304e+23,5.521273068774608e+23,4.1409548015809565e+23,3.6808487125164055e+23,2.2085092275098432e+23
34.2685,2.6375432303807685e+24,5.275086460761537e+24,3.9563148455711535e+24,3.5167243071743585e+24,2.1100345843046147e+24
14.7115,1.1322998448647205e+24,2.264599689729441e+24,1.698449767297081e+24,1.509733126486294e+24,9.058398758917763e+23
14.1784,1.0912687435292086e+24,2.1825374870584172e+24,1.636903115293813e+24,1.4550249913722784e+24,8.73014994823367e+23
8.74601,6.731540472545488e+23,1.3463080945090976e+24,1.0097310708818233e+24,8.975387296727317e+23,5.3852323780363896e+23
11.8493,9.120049316354915e+23,1.824009863270983e+24,1.3680073974532374e+24,1.2160065755139887e+24,7.296039453083932e+23
12.7876,9.84223056533467e+23,1.968446113066934e+24,1.4763345848002005e+24,1.3122974087112895e+24,7.873784452267735e+23
3.08878,2.3773409338417233e+23,4.7546818676834465e+23,3.5660114007625854e+23,3.169787911788965e+23,1.9018727470733787e+23
30.7306,2.3652417233184775e+24,4.730483446636955e+24,3.547862584977716e+24,3.1536556310913035e+24,1.892193378654782e+24
10.0233,7.714632114354452e+23,1.5429264228708905e+24,1.1571948171531679e+24,1.0286176152472604e+24,6.171705691483561e+23
8.06728,6.209142434476608e+23,1.2418284868953217e+24,9.313713651714913e+23,8.278856579302145e+23,4.967313947581287e+23
25.0717,1.9296932345780384e+24,3.859386469156077e+24,2.8945398518670577e+24,2.572924312770718e+24,1.5437545876624308e+24
97.5545,7.508476036832096e+24,1.5016952073664192e+25,1.1262714055248144e+25,1.0011301382442796e+25,6.006780829465676e+24
17.1833,1.322546845954794e+24,2.645093691909588e+24,1.9838202689321912e+24,1.7633957946063922e+24,1.0580374767638352e+24
2.37002,1.824133010451881e+23,3.648266020903762e+23,2.7361995156778218e+23,2.432177347269175e+23,1.4593064083615049e+23
24.168,1.860138167466986e+24,3.720276334933972e+24,2.790207251200479e+24,2.480184223289315e+24,1.4881105339735888e+24
