episode,step,price,e_long,e_short,trend,vol_bin,pos,policy_action,effective_action,block_reason,btc_before,btc_after,cash_before,cash_after,delta_btc,delta_cash,total_usd_before,total_usd_after
1,0,72219.86,0.067382,0.034016,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,70078.66,70078.66
1,1,72109.85,0.065228,0.030738,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,69990.66,69990.66
1,2,72605.66,0.071982,0.035981,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,70387.31,70387.31
1,3,72511.41,0.070088,0.032840,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,70311.91,70311.91
1,4,72506.77,0.069468,0.030865,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,70308.19,70308.19
1,5,71918.23,0.060374,0.021055,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,69837.36,69837.36
1,6,72084.50,0.062427,0.021815,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,69970.38,69970.38
1,7,72552.53,0.068846,0.026444,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,70344.80,70344.80
1,8,72454.55,0.066983,0.022712,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,70266.41,70266.41
1,9,72127.34,0.061813,0.016249,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,70004.65,70004.65
1,10,72032.56,0.060060,0.012573,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,69928.83,69928.83
1,11,72450.00,0.065851,0.015982,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,70262.78,70262.78
1,12,72173.88,0.061424,0.009860,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,70041.88,70041.88
1,13,71604.11,0.052735,0.000144,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,69586.06,69586.06
1,14,71811.17,0.055375,0.001146,uptrend,low,LONG,HOLD,HOLD,none,0.80000000,0.80000000,12302.78,12302.78,0.00000000,0.00,69751.71,69751.71
