episode,btc_end,cash_end,btc_equiv,price
1,0.8725851926,13454.42,1.0348678915,82907.30
2,0.9724832029,6917.27,1.0613823895,77810.25
3,0.2049881502,75045.48,1.0380665892,90082.12
4,0.9867946931,6442.84,1.0693001130,78089.84
5,0.4351185886,60004.08,1.1182017192,87843.01
6,0.8936364478,8140.67,0.9696537523,107089.76
7,0.1912109631,76643.97,0.9950814344,95343.68
8,1.0101418855,6666.49,1.1063910447,69262.84
9,0.2855578567,69557.80,1.0472745456,91317.15
10,0.2516618552,82704.28,0.9291916858,122067.37
11,0.1626746035,92335.92,0.9191253749,122064.67
12,0.3519381850,49543.29,1.0825665266,67809.15
13,0.3224868436,65016.41,1.0344680691,91317.59
14,0.6545610558,39363.66,1.0188170691,108065.93
15,0.8761608682,8124.80,0.9463753986,115713.97
16,0.9550868366,6698.05,1.0290050966,90614.27
17,1.0175338814,6770.45,1.0945194525,87944.45
18,0.7455128998,33029.93,1.1120760117,90107.09
19,0.9530304065,11328.03,1.0850715893,85791.63
20,0.8077371223,27716.31,1.1094506804,91862.98
21,1.0276939799,5723.71,1.1123169606,67637.83
22,0.9350459668,7038.19,1.0140976868,89032.74
23,0.4477204595,58785.14,1.0973714596,90487.27
24,1.0164402861,5305.52,1.0951444107,67410.94
25,0.8846744697,11148.81,1.0097710146,89121.61
26,0.5099816710,51353.84,0.9294195170,122434.93
27,0.2906465123,74385.24,1.0910312850,92936.85
28,0.2652660967,71796.27,1.0629792669,90002.62
29,0.2339522369,81444.06,1.0101974040,104920.53
30,0.4548956249,57063.90,0.9922825050,106187.74
31,0.1710180539,87372.27,0.9425916767,113239.06
32,0.5996387625,45778.80,1.0874642008,93842.58
33,0.2021184685,75495.59,1.0044808344,94091.63
34,0.2876831085,69202.27,1.0338532459,92743.29
35,0.4930679638,48183.67,1.0106613934,93091.73
36,0.9483825671,9777.56,1.0632740255,85102.57
37,0.2540886278,80542.45,0.9120265683,122416.49
38,0.3032435084,72821.98,1.1092390195,90350.36
39,0.3848026418,49303.94,1.1034749774,68604.20
40,0.3662833877,62646.42,1.0887096145,86716.70
41,0.4677021674,54965.06,0.9767372246,107978.93
42,0.5022318554,51929.79,0.9844079225,107698.81
43,0.9536948994,7007.24,1.0337658236,87512.88
44,0.3362161850,63783.07,1.0056595440,95277.77
45,0.4344708395,61135.39,1.0961950031,92388.03
46,0.9366781945,8573.25,1.0141389817,110678.55
47,0.9344463455,6941.42,1.0146454129,86552.38
48,0.9795150113,6373.15,1.0603644122,78827.45
49,0.7772320458,27992.97,1.0712712617,95201.50
50,1.0304441777,8314.83,1.1258139287,87185.21
51,1.0127441110,7187.74,1.0962276421,86097.70
52,0.7018788632,28611.91,0.9574759840,111941.45
53,0.9192663138,13648.97,1.0809413488,84422.22
54,0.9960804480,7125.96,1.0898322800,76008.77
55,0.4520267566,58284.46,1.1031143895,89518.62
56,1.0136511932,7158.81,1.0942708595,88797.29
57,0.2049468386,85811.10,0.9742347910,111546.14
58,0.2715557320,68493.13,1.0119441158,92509.73
59,0.2504199229,79715.11,0.9578323752,112685.48
60,0.8906482321,10225.41,1.0027745882,91195.44
61,0.9664250443,6486.01,1.0473575010,80141.04
62,0.9566980253,8461.16,1.0337429217,109821.18
63,0.3259618729,52919.36,1.1116472143,67354.39
64,0.5343063874,50974.34,1.1064976482,89086.20
65,1.0162121395,5154.51,1.0939527011,66304.02
66,0.4632704302,57441.54,1.0821559926,92814.48
67,0.4282828259,63147.93,1.1271974555,90351.42
68,0.2624988313,74338.84,1.1015487230,88598.84
69,0.2104020739,78885.89,1.1121015753,87485.78
70,0.5720047721,50062.44,1.1260755230,90353.88
71,0.1678825195,87335.19,0.9245663385,115418.34
72,0.6844917587,38310.07,1.1179568717,88380.98
73,0.8849098132,7905.88,0.9543642947,113828.17
74,0.4674247777,57257.27,1.1056788081,89709.22
75,0.8324375783,18878.04,1.1102716759,67947.16
76,0.3522837809,61930.63,1.0219178257,92484.29
77,0.9609770785,6910.71,1.0384910091,89154.37
78,0.1709713371,87882.66,0.9335053867,115250.80
79,0.4744453338,53158.04,1.0761973118,88338.79
80,0.6725676671,39951.21,1.1154491609,90207.45
81,0.3714924857,64707.77,1.1145792502,87079.70
82,0.6974639408,34661.11,1.0396228950,101301.20
83,0.2329512349,81465.69,1.0091713251,104951.79
84,1.0223169307,5438.92,1.1016540805,68554.55
85,0.3272281118,69465.35,0.9627563810,109303.32
86,0.9265073764,7421.03,0.9986742466,102831.55
87,0.9957952246,5615.95,1.0817235906,65356.20
88,0.2019144973,79740.16,1.0589596162,93040.80
89,0.2403956790,81483.93,0.9704981784,111606.15
90,0.9411281904,8147.66,1.0217412503,101071.25
91,0.8833382344,8239.44,0.9576687672,110848.73
92,0.9517866924,6553.64,1.0254978989,88909.72
93,0.9842390075,7090.96,1.0652666777,87512.88
94,0.8705437449,17915.99,1.0569127305,96131.84
95,1.0075623939,5514.01,1.0856798415,70586.12
96,0.2648624724,77582.22,0.9481072836,113549.66
97,0.4473920044,59219.51,1.1257062687,87303.94
98,0.1853442805,78016.93,1.0186240056,93626.34
99,0.7010777478,31569.14,1.0032122157,104487.05
100,1.0271758772,5764.26,1.1117901614,68123.91
101,0.9542695767,7050.58,1.0319638430,90747.76
102,0.9354287138,8144.53,1.0150511087,102289.43
103,0.3403125936,70993.68,1.1267152290,90276.51
104,0.5516559740,49490.60,1.0999365872,90265.09
105,0.1744561056,90351.08,0.8969926505,125047.07
106,0.1763064426,89082.92,0.9617591778,113416.02
107,0.9209065806,12630.17,1.1063201560,68118.92
108,0.9535896197,6779.16,1.0294928136,89313.25
109,1.0042385921,6575.61,1.0876822991,78802.92
110,0.2173154008,85418.98,0.9110345654,123131.94
111,0.9515730687,6619.86,1.0270031757,87761.48
112,0.8739006257,17186.44,1.0540086499,95422.98
113,0.2313811487,80942.21,0.9605821233,111001.24
114,0.9527315520,6801.96,1.0297959592,88263.27
115,0.4948533479,53923.22,1.0031507567,106085.96
116,0.9343766299,7317.53,1.0059181731,102283.69
117,0.3967544890,48967.91,1.1080521491,68843.06
118,0.8877382122,8091.50,0.9627796260,107827.18
119,0.9855236257,8476.03,1.1122202346,66900.23
120,0.2912774770,67593.30,1.0001441195,95354.05
121,0.6166258490,39977.23,0.9693371444,113342.65
122,0.7850176027,25932.65,1.0262189360,107514.55
123,0.9995425507,7037.12,1.0916915600,76366.78
124,0.8994584104,7391.21,0.9674419658,108720.61
125,0.7822955595,24845.94,1.0125624540,107900.60
126,0.9310793772,7912.69,1.0072986239,103814.83
127,0.4113714620,47013.73,1.1224789564,66113.40
128,0.3401172123,65007.12,1.0940189818,86227.58
129,1.0235763946,5836.98,1.1102516689,67343.13
130,0.8527357647,18933.74,1.0477222475,97102.84
131,0.9492799451,7715.76,1.0230855980,104541.59
132,0.2808968170,71571.04,1.0640619418,91386.91
133,0.7173515883,35032.57,1.1182437576,87386.52
134,0.9701396275,6558.78,1.0483518458,83858.80
135,0.8918191841,16382.41,1.0810586129,86569.73
136,0.3447318820,69516.19,0.9731054947,110628.76
137,0.9484304509,10276.32,1.0694802500,84893.29
138,1.0104186318,5567.43,1.0912065153,68914.12
139,0.2795355864,68499.96,1.0203767424,92462.41
140,0.8631172819,19000.53,1.0613768360,95836.66
141,0.9417845086,11278.61,1.1085344771,67637.83
142,0.3793186849,65192.84,1.1086931183,89381.85
143,0.7257392291,26270.94,1.0165834771,90326.48
144,0.4714787070,56127.18,0.9790060862,110589.45
145,0.9339416294,7873.33,1.0077191018,106717.33
146,1.0029682926,6723.23,1.0889254674,78216.02
147,0.9891844540,6885.44,1.0884730190,69347.79
148,0.5015578320,52922.40,1.0919581228,89638.17
149,0.3675819922,64323.51,1.0875978136,89336.24
150,1.0259404571,5945.63,1.1143731148,67233.38
151,0.4460362706,58455.17,0.9739133221,110736.34
152,1.0012554224,6548.19,1.0850593424,78136.99
153,0.9420102666,7248.38,1.0226729272,89860.42
154,0.3556985779,61549.05,1.0352938976,90567.20
155,0.5155218996,53322.33,1.0939205698,92189.58
156,0.9877536146,6730.27,1.0832462770,70479.40
157,0.4833302295,42362.35,1.1240830902,66113.40
158,0.5701805037,36032.14,1.1051084508,67358.87
159,0.4335685455,59662.78,1.1184512313,87113.88
160,0.3881185585,64987.62,1.0904698756,92528.65
161,0.9361331815,10380.87,1.0553180129,87098.93
162,0.4103888718,61496.57,1.0881184266,90739.10
163,0.4827274163,55195.75,1.1077205706,88314.17
164,0.9001528292,7410.97,0.9673397289,110303.84
165,0.4734922045,56302.95,1.1169877390,87495.48
166,0.9981859520,6888.11,1.1056867987,64074.95
167,0.9325411516,7889.91,1.0099390220,101939.59
168,0.1996182161,76837.70,1.0051349922,95389.32
