,nav
2025-03-01 00:00:00+00:00,10000.0
2025-03-01 01:00:00+00:00,10047.396664200798
2025-03-01 02:00:00+00:00,10082.510585245685
2025-03-01 03:00:00+00:00,10083.709503991518
2025-03-01 04:00:00+00:00,10141.750590978874
2025-03-01 05:00:00+00:00,10105.398610428478
2025-03-01 06:00:00+00:00,10070.717101585742
2025-03-01 07:00:00+00:00,10053.323693523378
2025-03-01 08:00:00+00:00,10086.700044415444
2025-03-01 09:00:00+00:00,10089.000961930764
2025-03-01 10:00:00+00:00,10057.21913103413
2025-03-01 11:00:00+00:00,10045.298905866659
2025-03-01 12:00:00+00:00,10055.04542098776
2025-03-01 13:00:00+00:00,10037.293222628354
2025-03-01 14:00:00+00:00,10049.666828262089
2025-03-01 15:00:00+00:00,10055.196392489372
2025-03-01 16:00:00+00:00,10080.300996169612
2025-03-01 17:00:00+00:00,10080.389062878885
2025-03-01 18:00:00+00:00,10085.719661577808
2025-03-01 19:00:00+00:00,10095.024911229688
2025-03-01 20:00:00+00:00,10096.714487355763
2025-03-01 21:00:00+00:00,10127.284352586674
2025-03-01 22:00:00+00:00,10134.047782666645
2025-03-01 23:00:00+00:00,10131.674641130488
2025-03-02 00:00:00+00:00,10128.592772267319
2025-03-02 01:00:00+00:00,10147.510340149976
2025-03-02 02:00:00+00:00,10109.690581111676
2025-03-02 03:00:00+00:00,10121.956083694873
2025-03-02 04:00:00+00:00,10110.259054049848
2025-03-02 05:00:00+00:00,10123.397302381567
2025-03-02 06:00:00+00:00,10143.495616514494
2025-03-02 07:00:00+00:00,10141.36197915065
2025-03-02 08:00:00+00:00,10114.254207305492
2025-03-02 09:00:00+00:00,10127.292273930892
2025-03-02 10:00:00+00:00,10126.503401238824
2025-03-02 11:00:00+00:00,10134.570125423768
2025-03-02 12:00:00+00:00,10125.466637068796
2025-03-02 13:00:00+00:00,10106.00156451208
2025-03-02 14:00:00+00:00,10073.171786371226
2025-03-02 15:00:00+00:00,10220.771125153326
2025-03-02 16:00:00+00:00,10456.582657061152
2025-03-02 17:00:00+00:00,10586.125424808943
2025-03-02 18:00:00+00:00,10534.666974519492
2025-03-02 19:00:00+00:00,10557.741940965028
2025-03-02 20:00:00+00:00,10588.758704992466
2025-03-02 21:00:00+00:00,10579.652080239344
2025-03-02 22:00:00+00:00,10586.83140269261
2025-03-02 23:00:00+00:00,10581.158418071836
