type,ts,price,size,cash,realized_pnl,stop_loss
sell,2024-11-06 03:00:00+00:00,74278.59,0.04241023,3141.98,641.98,
sell,2024-11-06 04:00:00+00:00,74526.95,0.02120511,1576.24,326.24,
sell,2024-11-06 05:00:00+00:00,74801.64,0.01060256,791.03,166.03,
sell,2024-11-06 06:00:00+00:00,74418.66,0.00530128,393.49,80.99,
sell,2024-11-11 21:00:00+00:00,87888.33,0.00265064,232.35,76.1,
sell,2024-11-11 22:00:00+00:00,87984.64,0.00132532,116.3,38.18,
sell,2024-11-11 23:00:00+00:00,88605.96,0.00066266,58.56,19.5,
sell,2024-11-12 00:00:00+00:00,88850.48,0.00033133,29.36,9.83,
sell,2024-12-05 03:00:00+00:00,103090.04,0.00015969,16.42,7.01,
sell,2024-12-05 04:00:00+00:00,103298.91,8.35e-05,8.6,3.68,
sell,2025-02-03 19:00:00+00:00,102005.89,3.642e-05,3.71,1.56,
buy,2025-02-28 07:00:00+00:00,79049.07,0.03734315,-2959.64,0.0,71144.16
