type,ts,price,size,cash,realized_pnl,stop_loss
buy,2025-12-08 08:00:00+00:00,91830.48,0.05430659,-5000.0,0.0,82647.43
sell,2025-12-09 04:00:00+00:00,89945.97,0.02715329,2435.98,-57.52,
buy,2025-12-09 21:00:00+00:00,92697.72,0.04000447,-3717.99,0.0,83427.95
sell,2025-12-11 17:00:00+00:00,89994.72,0.03357888,3014.06,-75.07,
buy,2025-12-12 03:00:00+00:00,92317.54,0.03636661,-3366.03,0.0,83085.79
sell,2025-12-13 07:00:00+00:00,90350.36,0.03497274,3151.58,-89.78,
buy,2025-12-20 05:00:00+00:00,88262.7,0.03682567,-3258.81,0.0,79436.43
sell,2025-12-23 22:00:00+00:00,87343.17,0.03589921,3127.4,-182.97,
buy,2025-12-26 09:00:00+00:00,88769.62,0.03587714,-3193.1,0.0,79892.66
sell,2025-12-26 20:00:00+00:00,87553.04,0.03588817,3133.95,-33.64,
buy,2025-12-27 00:00:00+00:00,87338.2,0.03612738,-3163.53,0.0,78604.38
sell,2025-12-27 02:00:00+00:00,87386.52,0.03600778,3138.41,-57.81,
sell,2025-12-30 05:00:00+00:00,87129.55,0.01800389,1564.59,-7.84,
buy,2025-12-30 21:00:00+00:00,88172.45,0.0444928,-3933.27,0.0,79355.21
sell,2026-01-01 08:00:00+00:00,87598.38,0.03124834,2730.19,-10.04,
sell,2026-01-08 08:00:00+00:00,90082.12,0.01562417,1403.8,26.18,
buy,2026-01-13 00:00:00+00:00,91386.71,0.04402323,-4033.63,0.0,82248.04
sell,2026-01-13 03:00:00+00:00,91291.31,0.0298237,2715.57,40.3,
buy,2026-01-13 06:00:00+00:00,92120.84,0.03653703,-3374.6,0.0,82908.76
buy,2026-01-28 12:00:00+00:00,89868.25,0.01872642,-1687.3,0.0,80881.43
buy,2026-02-14 09:00:00+00:00,69688.66,0.0120745,-843.65,0.0,62719.79
