chain,result,count
motif:backward_pawn|battery|pawn_chain,draw,37
motif:backward_pawn|battery|double_attack|pawn_chain,draw,19
motif:backward_pawn|battery|pawn_chain|pin,draw,2
motif:backward_pawn|battery|double_attack|pawn_chain|pin,draw,5
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,2
motif:backward_pawn|double_attack|king_attack|pawn_chain,draw,2
motif:backward_pawn|double_attack|pawn_chain|pin,draw,14
motif:backward_pawn|pawn_chain,draw,8
motif:backward_pawn|double_attack|pawn_chain,draw,22
motif:backward_pawn|doubled_pawn|pawn_chain,draw,28
motif:backward_pawn|double_attack|doubled_pawn|fork|king_attack|pawn_chain,draw,2
motif:backward_pawn|double_attack|doubled_pawn|fork|pawn_chain,draw,2
motif:backward_pawn|double_attack|doubled_pawn|fork|pawn_break|pawn_chain,draw,17
motif:backward_pawn|doubled_pawn|pawn_break|pawn_chain,draw,25
motif:backward_pawn|double_attack|doubled_pawn|pawn_break|pawn_chain,draw,5
motif:backward_pawn|doubled_pawn|fork|pawn_break|pawn_chain,draw,5
motif:backward_pawn|doubled_pawn|king_attack|open_file|pawn_chain,draw,8
motif:backward_pawn|double_attack|doubled_pawn|king_attack|open_file|pawn_chain,draw,8
motif:backward_pawn|doubled_pawn|fork|king_attack|open_file|pawn_break|pawn_chain,draw,2
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,2
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,2
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,31
motif:backward_pawn|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,11
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,5
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,8
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,59
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,11
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,8
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,34
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|open_file|pawn_break,draw,22
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,37
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,721
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pin,draw,11
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,102
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,19
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,2
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,11
w:Kc4|b:Ke7,draw,1
w:Kd2|b:Ke7,draw,1
w:Kd6|b:Kb7,draw,1
b:Ka8|w:Kd4,draw,1
b:Kb8|w:Kc5,draw,1
w:Kb6|b:Kb8,draw,1
motif:backward_pawn|isolated_pawn|open_file,draw,2
w:Kg3|b:Kf7,draw,1
w:Kf2|b:Ke8,draw,1
