sequence;count;avg_score
e4 h5 a3 h4 Be2 a5 d3 a4 Nh3 g6;1;10.0
h5 a3 h4 Be2 a5 d3 a4 Nh3 g6 Nc3;1;10.0
a3 h4 Be2 a5 d3 a4 Nh3 g6 Nc3 e6;1;10.0
h4 Be2 a5 d3 a4 Nh3 g6 Nc3 e6 b3;1;10.0
Be2 a5 d3 a4 Nh3 g6 Nc3 e6 b3 Ke7;1;10.0
a5 d3 a4 Nh3 g6 Nc3 e6 b3 Ke7 Bd2;1;10.0
d3 a4 Nh3 g6 Nc3 e6 b3 Ke7 Bd2 d6;1;10.0
a4 Nh3 g6 Nc3 e6 b3 Ke7 Bd2 d6 O-O;1;10.0
Nh3 g6 Nc3 e6 b3 Ke7 Bd2 d6 O-O e5;1;10.0
g6 Nc3 e6 b3 Ke7 Bd2 d6 O-O e5 g4;1;10.0
Nc3 e6 b3 Ke7 Bd2 d6 O-O e5 g4 c5;1;10.0
e6 b3 Ke7 Bd2 d6 O-O e5 g4 c5 Qc1;1;10.0
b3 Ke7 Bd2 d6 O-O e5 g4 c5 Qc1 b6;1;10.0
Ke7 Bd2 d6 O-O e5 g4 c5 Qc1 b6 Ng5;1;10.0
Bd2 d6 O-O e5 g4 c5 Qc1 b6 Ng5 h3;1;10.0
d6 O-O e5 g4 c5 Qc1 b6 Ng5 h3 Nd5+;1;10.0
O-O e5 g4 c5 Qc1 b6 Ng5 h3 Nd5+ Ke8;1;10.0
e5 g4 c5 Qc1 b6 Ng5 h3 Nd5+ Ke8 f4;1;10.0
g4 c5 Qc1 b6 Ng5 h3 Nd5+ Ke8 f4 Rh6;1;10.0
c5 Qc1 b6 Ng5 h3 Nd5+ Ke8 f4 Rh6 bxa4;1;10.0
Qc1 b6 Ng5 h3 Nd5+ Ke8 f4 Rh6 bxa4 Ne7;1;10.0
b6 Ng5 h3 Nd5+ Ke8 f4 Rh6 bxa4 Ne7 Nf6#;1;10.0
e4 h5 d4 h4 Qe2 d5 Nf3 a5 c3 a4;1;10.0
