Zugnummer;Zug;Ergebnis
1;g4;1/2-1/2
2;Nh6;1/2-1/2
3;f4;1/2-1/2
4;Rg8;1/2-1/2
5;g5;1/2-1/2
6;Rh8;1/2-1/2
7;gxh6;1/2-1/2
8;Rg8;1/2-1/2
9;hxg7;1/2-1/2
10;Rxg7;1/2-1/2
11;Nh3;1/2-1/2
12;Nc6;1/2-1/2
13;d4;1/2-1/2
14;d6;1/2-1/2
15;Qd3;1/2-1/2
16;Be6;1/2-1/2
17;Qe3;1/2-1/2
18;Ne5;1/2-1/2
19;Qxe5;1/2-1/2
20;Rg8;1/2-1/2
21;Qxe6;1/2-1/2
22;Rg7;1/2-1/2
23;f5;1/2-1/2
24;Qc8;1/2-1/2
25;Rg1;1/2-1/2
26;Qd8;1/2-1/2
27;Rxg7;1/2-1/2
28;Bxg7;1/2-1/2
29;Ng5;1/2-1/2
30;Qc8;1/2-1/2
31;Nxh7;1/2-1/2
32;Qd7;1/2-1/2
33;Bh3;1/2-1/2
34;Kd8;1/2-1/2
35;Bg5;1/2-1/2
36;Kc8;1/2-1/2
37;Bxe7;1/2-1/2
38;Kb8;1/2-1/2
39;Qxd7;1/2-1/2
40;a6;1/2-1/2
41;Qd8+;1/2-1/2
42;Ka7;1/2-1/2
43;Nc3;1/2-1/2
44;Rxd8;1/2-1/2
45;Nd5;1/2-1/2
46;Rh8;1/2-1/2
47;Bf8;1/2-1/2
48;Rg8;1/2-1/2
49;Ne7;1/2-1/2
50;Kb8;1/2-1/2
51;Nxg8;1/2-1/2
52;Ka8;1/2-1/2
53;Ne7;1/2-1/2
54;Kb8;1/2-1/2
55;Rd1;1/2-1/2
56;Bh8;1/2-1/2
57;Rd3;1/2-1/2
58;f6;1/2-1/2
59;Rg3;1/2-1/2
60;d5;1/2-1/2
61;Rg8;1/2-1/2
62;Bg7;1/2-1/2
63;Rxg7;1/2-1/2
64;Ka7;1/2-1/2
65;Nc8+;1/2-1/2
66;Kb8;1/2-1/2
67;Nb6;1/2-1/2
68;Ka7;1/2-1/2
69;Rxc7;1/2-1/2
70;Kb8;1/2-1/2
71;Rc8+;1/2-1/2
72;Ka7;1/2-1/2
73;Ra8+;1/2-1/2
74;Kxb6;1/2-1/2
75;Bc5+;1/2-1/2
76;Kb5;1/2-1/2
77;c3;1/2-1/2
78;a5;1/2-1/2
79;b4;1/2-1/2
80;axb4;1/2-1/2
81;cxb4;1/2-1/2
82;b6;1/2-1/2
83;a3;1/2-1/2
84;Kc6;1/2-1/2
85;Bxb6;1/2-1/2
86;Kd7;1/2-1/2
87;Nxf6+;1/2-1/2
88;Ke7;1/2-1/2
89;Ng8+;1/2-1/2
90;Kf7;1/2-1/2
91;Bd8;1/2-1/2
92;Kxg8;1/2-1/2
93;f6;1/2-1/2
94;Kh8;1/2-1/2
95;f7;1/2-1/2
96;Kh7;1/2-1/2
97;f8=Q;1/2-1/2
98;Kg6;1/2-1/2
99;Bf6;1/2-1/2
100;Kh5;1/2-1/2
101;Bf5;1/2-1/2
