R_m,rho_needed_conserv,rho_needed_realist,rho_needed_optimist,rho_avail_conserv,rho_avail_realist,rho_avail_optimist,gap_conserv,gap_realist,gap_optimist
1.0000e+01,4.3279e+57,4.3279e+57,4.3279e+57,5.7296e+04,3.1831e+07,3.1831e+10,7.5536e+52,1.3597e+50,1.3597e+47
1.0233e+01,4.1327e+57,4.1327e+57,4.1327e+57,5.7296e+04,3.1831e+07,3.1831e+10,7.2130e+52,1.2983e+50,1.2983e+47
1.0472e+01,3.9464e+57,3.9464e+57,3.9464e+57,5.7296e+04,3.1831e+07,3.1831e+10,6.8877e+52,1.2398e+50,1.2398e+47
1.0717e+01,3.7684e+57,3.7684e+57,3.7684e+57,5.7296e+04,3.1831e+07,3.1831e+10,6.5771e+52,1.1839e+50,1.1839e+47
1.0967e+01,3.5985e+57,3.5985e+57,3.5985e+57,5.7296e+04,3.1831e+07,3.1831e+10,6.2805e+52,1.1305e+50,1.1305e+47
1.1223e+01,3.4362e+57,3.4362e+57,3.4362e+57,5.7296e+04,3.1831e+07,3.1831e+10,5.9973e+52,1.0795e+50,1.0795e+47
1.1485e+01,3.2812e+57,3.2812e+57,3.2812e+57,5.7296e+04,3.1831e+07,3.1831e+10,5.7268e+52,1.0308e+50,1.0308e+47
1.1753e+01,3.1333e+57,3.1333e+57,3.1333e+57,5.7296e+04,3.1831e+07,3.1831e+10,5.4686e+52,9.8435e+49,9.8435e+46
1.2027e+01,2.9920e+57,2.9920e+57,2.9920e+57,5.7296e+04,3.1831e+07,3.1831e+10,5.2220e+52,9.3996e+49,9.3996e+46
1.2308e+01,2.8571e+57,2.8571e+57,2.8571e+57,5.7296e+04,3.1831e+07,3.1831e+10,4.9865e+52,8.9757e+49,8.9757e+46
1.2595e+01,2.7282e+57,2.7282e+57,2.7282e+57,5.7296e+04,3.1831e+07,3.1831e+10,4.7616e+52,8.5709e+49,8.5709e+46
1.2889e+01,2.6052e+57,2.6052e+57,2.6052e+57,5.7296e+04,3.1831e+07,3.1831e+10,4.5469e+52,8.1844e+49,8.1844e+46
1.3190e+01,2.4877e+57,2.4877e+57,2.4877e+57,5.7296e+04,3.1831e+07,3.1831e+10,4.3419e+52,7.8153e+49,7.8153e+46
1.3498e+01,2.3755e+57,2.3755e+57,2.3755e+57,5.7296e+04,3.1831e+07,3.1831e+10,4.1461e+52,7.4629e+49,7.4629e+46
1.3813e+01,2.2684e+57,2.2684e+57,2.2684e+57,5.7296e+04,3.1831e+07,3.1831e+10,3.9591e+52,7.1264e+49,7.1264e+46
1.4135e+01,2.1661e+57,2.1661e+57,2.1661e+57,5.7296e+04,3.1831e+07,3.1831e+10,3.7805e+52,6.8050e+49,6.8050e+46
1.4465e+01,2.0684e+57,2.0684e+57,2.0684e+57,5.7296e+04,3.1831e+07,3.1831e+10,3.6101e+52,6.4981e+49,6.4981e+46
1.4803e+01,1.9751e+57,1.9751e+57,1.9751e+57,5.7296e+04,3.1831e+07,3.1831e+10,3.4473e+52,6.2051e+49,6.2051e+46
1.5148e+01,1.8861e+57,1.8861e+57,1.8861e+57,5.7296e+04,3.1831e+07,3.1831e+10,3.2918e+52,5.9253e+49,5.9253e+46
1.5502e+01,1.8010e+57,1.8010e+57,1.8010e+57,5.7296e+04,3.1831e+07,3.1831e+10,3.1434e+52,5.6581e+49,5.6581e+46
1.5864e+01,1.7198e+57,1.7198e+57,1.7198e+57,5.7296e+04,3.1831e+07,3.1831e+10,3.0016e+52,5.4029e+49,5.4029e+46
1.6234e+01,1.6422e+57,1.6422e+57,1.6422e+57,5.7296e+04,3.1831e+07,3.1831e+10,2.8663e+52,5.1593e+49,5.1593e+46
