H0_kmsMpc,adot0,d_eta_mean,d_eta_std,d_eta_jk_err
0.00,0.000000,0.042984,0.040707,0.007559
2.00,0.008902,0.108150,0.134338,0.024946
4.00,0.017804,0.127579,0.165869,0.030801
6.00,0.026706,0.103176,0.109639,0.020359
8.00,0.035608,0.093560,0.098580,0.018306
10.00,0.044510,0.110491,0.109201,0.020278
12.00,0.053412,0.114512,0.116053,0.021550
14.00,0.062315,0.100164,0.110684,0.020554
16.00,0.071217,0.124785,0.139586,0.025921
18.00,0.080119,0.131646,0.161011,0.029899
20.00,0.089021,0.107324,0.142692,0.026497
22.00,0.097923,0.116908,0.139340,0.025875
24.00,0.106825,0.098752,0.095125,0.017664
26.00,0.115727,0.097493,0.095124,0.017664
28.00,0.124629,0.124669,0.151827,0.028194
30.00,0.133531,0.095617,0.106619,0.019799
32.00,0.142433,0.085109,0.094020,0.017459
34.00,0.151335,0.076424,0.068683,0.012754
36.00,0.160237,0.090964,0.078237,0.014528
38.00,0.169139,0.115174,0.141755,0.026323
40.00,0.178042,0.121414,0.132930,0.024684
42.00,0.186944,0.084267,0.082964,0.015406
44.00,0.195846,0.090310,0.086161,0.016000
46.00,0.204748,0.091636,0.091637,0.017017
48.00,0.213650,0.096100,0.095332,0.017703
50.00,0.222552,0.100426,0.099358,0.018450
52.00,0.231454,0.104953,0.103362,0.019194
54.00,0.240356,0.109267,0.107314,0.019928
56.00,0.249258,0.113629,0.110953,0.020603
58.00,0.258160,0.117723,0.114755,0.021309
60.00,0.267062,0.122078,0.118394,0.021985
62.00,0.275964,0.126599,0.122099,0.022673
64.00,0.284866,0.131106,0.125759,0.023353
66.00,0.293769,0.135469,0.129676,0.024080
68.00,0.302671,0.139871,0.133634,0.024815
70.00,0.311573,0.144307,0.137550,0.025542
72.00,0.320475,0.148828,0.141573,0.026289
74.00,0.329377,0.153159,0.145481,0.027015
76.00,0.338279,0.157359,0.149094,0.027686
78.00,0.347181,0.161510,0.152771,0.028369
80.00,0.356083,0.165459,0.156299,0.029024
82.00,0.364985,0.169222,0.159744,0.029664
84.00,0.373887,0.172783,0.163067,0.030281
86.00,0.382789,0.176141,0.166342,0.030889
88.00,0.391691,0.179489,0.169456,0.031467
90.00,0.400593,0.182627,0.172317,0.031998
92.00,0.409496,0.185616,0.175071,0.032510
94.00,0.418398,0.188521,0.177713,0.033001
96.00,0.427300,0.191284,0.180188,0.033460
98.00,0.436202,0.193930,0.182528,0.033895
100.00,0.445104,0.196378,0.184705,0.034299
