chain,result,count
w:a3|b:a6,draw,1
b:a6|w:Nf3,draw,1
w:Nf3|b:f6,draw,1
b:f6|w:c3,draw,1
w:c3|b:Ra7,draw,1
b:Ra7|w:Rg1,draw,1
w:Rg1|b:Kf7,draw,1
b:Kf7|w:a4,draw,1
w:a4|b:Kg6,draw,1
b:Kg6|w:Ne5+,draw,1
w:Ne5+|b:fxe5,draw,1
b:fxe5|w:h3,draw,1
w:h3|b:Kf6,draw,1
b:Kf6|w:b3,draw,1
w:b3|b:d6,draw,1
b:d6|w:Na3,draw,1
w:Na3|b:Ke6,draw,1
b:Ke6|w:Qc2,draw,1
w:Qc2|b:Kd7,draw,1
b:Kd7|w:Qd1,draw,1
w:Qd1|b:Ke8,draw,1
b:Ke8|w:d3,draw,1
w:d3|b:b6,draw,1
b:b6|w:h4,draw,1
w:h4|b:b5,draw,1
b:b5|w:Rh1,draw,1
w:Rh1|b:e6,draw,1
b:e6|w:Nxb5,draw,1
w:Nxb5|b:axb5,draw,1
b:axb5|w:Rg1,draw,1
w:Rg1|b:Qxh4,draw,1
b:Qxh4|w:Rb1,draw,1
w:Rb1|b:Qb4,draw,1
b:Qb4|w:Rh1,draw,1
w:Rh1|b:g5,draw,1
b:g5|w:Rxh7,draw,1
w:Rxh7|b:Bh6,draw,1
b:Bh6|w:Rd7,draw,1
w:Rd7|b:g4,draw,1
b:g4|w:d4,draw,1
w:d4|b:Qc4,draw,1
b:Qc4|w:e4,draw,1
w:e4|b:b4,draw,1
b:b4|w:Bf4,draw,1
w:Bf4|b:c5,draw,1
b:c5|w:Qxg4,draw,1
w:Qxg4|b:d5,draw,1
b:d5|w:Be3,draw,1
w:Be3|b:Nf6,draw,1
b:Nf6|w:Rd1,draw,1
w:Rd1|b:Bg5,draw,1
b:Bg5|w:Qxg5,draw,1
w:Qxg5|b:Ra5,draw,1
b:Ra5|w:Qxf6,draw,1
w:Qxf6|b:Qxc3+,draw,1
b:Qxc3+|w:Bd2,draw,1
w:Bd2|b:Rh1,draw,1
b:Rh1|w:Ra1,draw,1
w:Ra1|b:Rg1,draw,1
b:Rg1|w:Rb1,draw,1
w:Rb1|b:Nxd7,draw,1
b:Nxd7|w:Bxc3,draw,1
w:Bxc3|b:dxe4,draw,1
b:dxe4|w:Ra1,draw,1
w:Ra1|b:Ra8,draw,1
b:Ra8|w:Bb2,draw,1
w:Bb2|b:Nb8,draw,1
b:Nb8|w:Rb1,draw,1
w:Rb1|b:Rxg2,draw,1
b:Rxg2|w:Ke2,draw,1
w:Ke2|b:exd4,draw,1
b:exd4|w:Ke1,draw,1
w:Ke1|b:Ra5,draw,1
b:Ra5|w:Kd2,draw,1
w:Kd2|b:d3,draw,1
b:d3|w:Bc3,draw,1
w:Bc3|b:Rg7,draw,1
b:Rg7|w:Bh3,draw,1
w:Bh3|b:Nd7,draw,1
b:Nd7|w:Ba1,draw,1
w:Ba1|b:Re7,draw,1
b:Re7|w:Kd1,draw,1
w:Kd1|b:Ra6,draw,1
b:Ra6|w:Kd2,draw,1
w:Kd2|b:Rxa4,draw,1
b:Rxa4|w:f3,draw,1
w:f3|b:Ra5,draw,1
b:Ra5|w:Qb2,draw,1
w:Qb2|b:Ra3,draw,1
b:Ra3|w:Bg4,draw,1
w:Bg4|b:Ra4,draw,1
b:Ra4|w:Bh3,draw,1
w:Bh3|b:Ba6,draw,1
b:Ba6|w:f4,draw,1
w:f4|b:Rh7,draw,1
b:Rh7|w:Qe5,draw,1
w:Qe5|b:Ra2+,draw,1
b:Ra2+|w:Ke3,draw,1
w:Ke3|b:Nb6,draw,1
b:Nb6|w:Qf6,draw,1
w:Qf6|b:Rxa1,draw,1
b:Rxa1|w:Rh1,draw,1
w:Rh1|b:Rh4,draw,1
b:Rh4|w:Qg6+,draw,1
w:Qg6+|b:Kd7,draw,1
b:Kd7|w:Qg8,draw,1
w:Qg8|b:Rh5,draw,1
b:Rh5|w:f5,draw,1
w:f5|b:Kd6,draw,1
b:Kd6|w:Kf4,draw,1
w:Kf4|b:e5+,draw,1
b:e5+|w:Ke3,draw,1
w:Ke3|b:Nd7,draw,1
b:Nd7|w:Kxe4,draw,1
w:Kxe4|b:c4,draw,1
b:c4|w:Rg1,draw,1
w:Rg1|b:Rb1,draw,1
b:Rb1|w:Qb8+,draw,1
w:Qb8+|b:Kc6,draw,1
b:Kc6|w:Re1,draw,1
w:Re1|b:Bb7,draw,1
b:Bb7|w:Ke3,draw,1
w:Ke3|b:Kb6,draw,1
b:Kb6|w:Bf1,draw,1
w:Bf1|b:Nxb8,draw,1
b:Nxb8|w:Be2,draw,1
w:Be2|b:Na6,draw,1
b:Na6|w:Bxh5,draw,1
w:Bxh5|b:Kc7,draw,1
b:Kc7|w:Kf2,draw,1
w:Kf2|b:Ra1,draw,1
b:Ra1|w:Re4,draw,1
w:Re4|b:Kc6,draw,1
b:Kc6|w:Be2,draw,1
w:Be2|b:Rc1,draw,1
b:Rc1|w:Bh5,draw,1
w:Bh5|b:Kb5,draw,1
b:Kb5|w:Be2,draw,1
w:Be2|b:Bc6,draw,1
b:Bc6|w:Kg3,draw,1
w:Kg3|b:Bd5,draw,1
b:Bd5|w:Bh5,draw,1
w:Bh5|b:Ba8,draw,1
b:Ba8|w:Bf7,draw,1
w:Bf7|b:Nc5,draw,1
b:Nc5|w:Bd5,draw,1
w:Bd5|b:Rh1,draw,1
b:Rh1|w:Bxa8,draw,1
w:Bxa8|b:Nb7,draw,1
b:Nb7|w:Kg2,draw,1
w:Kg2|b:cxb3,draw,1
b:cxb3|w:Rc4,draw,1
w:Rc4|b:Nd8,draw,1
b:Nd8|w:Rc8,draw,1
w:Rc8|b:Rh3,draw,1
b:Rh3|w:Kxh3,draw,1
w:Kxh3|b:b2,draw,1
b:b2|w:Kh2,draw,1
w:Kh2|b:e4,draw,1
b:e4|w:Rc3,draw,1
w:Rc3|b:Nc6,draw,1
b:Nc6|w:f6,draw,1
w:f6|b:Nd4,draw,1
b:Nd4|w:Kg2,draw,1
w:Kg2|b:Nb3,draw,1
b:Nb3|w:Rc5+,draw,1
w:Rc5+|b:Kb6,draw,1
b:Kb6|w:Bxe4,draw,1
w:Bxe4|b:Na1,draw,1
b:Na1|w:Kh2,draw,1
w:Kh2|b:b1=N,draw,1
b:b1=N|w:Bh7,draw,1
w:Bh7|b:Nc2,draw,1
b:Nc2|w:f7,draw,1
w:f7|b:d2,draw,1
b:d2|w:Rh5,draw,1
w:Rh5|b:Nc3,draw,1
b:Nc3|w:Rc5,draw,1
w:Rc5|b:b3,draw,1
b:b3|w:Ra5,draw,1
w:Ra5|b:Nb4,draw,1
b:Nb4|w:Ra2,draw,1
w:Ra2|b:Na4,draw,1
b:Na4|w:Ra1,draw,1
w:Ra1|b:d1=R,draw,1
b:d1=R|w:f8=R,draw,1
w:f8=R|b:Nc3,draw,1
b:Nc3|w:Ra3,draw,1
w:Ra3|b:Na4,draw,1
b:Na4|w:Rd8,draw,1
w:Rd8|b:Rb1,draw,1
b:Rb1|w:Kg2,draw,1
w:Kg2|b:Nc6,draw,1
b:Nc6|w:Kf2,draw,1
w:Kf2|b:Ka7,draw,1
b:Ka7|w:Rd4,draw,1
w:Rd4|b:b2,draw,1
b:b2|w:Rh4,draw,1
w:Rh4|b:Rf1+,draw,1
b:Rf1+|w:Kg3,draw,1
w:Kg3|b:b1=Q,draw,1
b:b1=Q|w:Bg6,draw,1
w:Bg6|b:Qb6,draw,1
b:Qb6|w:Rh1,draw,1
w:Rh1|b:Qb8+,draw,1
b:Qb8+|w:Kg2,draw,1
w:Kg2|b:Qf4,draw,1
b:Qf4|w:Bh5,draw,1
w:Bh5|b:Qd4,draw,1
b:Qd4|w:Kh2,draw,1
w:Kh2|b:Na5,draw,1
b:Na5|w:Rd3,draw,1
w:Rd3|b:Kb7,draw,1
b:Kb7|w:Bd1,draw,1
w:Bd1|b:Qb6,draw,1
b:Qb6|w:Rd6,draw,1
w:Rd6|b:Rf8,draw,1
b:Rf8|w:Rxb6+,draw,1
w:Rxb6+|b:Ka8,draw,1
b:Ka8|w:Bf3+,draw,1
w:Bf3+|b:Ka7,draw,1
b:Ka7|w:Bc6,draw,1
w:Bc6|b:Rb8,draw,1
b:Rb8|w:Re1,draw,1
w:Re1|b:Rg8,draw,1
b:Rg8|w:Bh1,draw,1
