Zugnummer;Zug;Ergebnis
1;Nf3;1/2-1/2
2;Nh6;1/2-1/2
3;Ng5;1/2-1/2
4;Rg8;1/2-1/2
5;Nxh7;1/2-1/2
6;Rh8;1/2-1/2
7;Nxf8;1/2-1/2
8;Rg8;1/2-1/2
9;Nxd7;1/2-1/2
10;Rh8;1/2-1/2
11;Nxb8;1/2-1/2
12;Rg8;1/2-1/2
13;Nc6;1/2-1/2
14;Rh8;1/2-1/2
15;Nxd8;1/2-1/2
16;Rg8;1/2-1/2
17;Nxf7;1/2-1/2
18;Rh8;1/2-1/2
19;Nxh8;1/2-1/2
20;Kf8;1/2-1/2
21;Ng6+;1/2-1/2
22;Kg8;1/2-1/2
23;Nc3;1/2-1/2
24;Kh7;1/2-1/2
25;Ne4;1/2-1/2
26;Bd7;1/2-1/2
27;Ng5+;1/2-1/2
28;Kg8;1/2-1/2
29;Nf7;1/2-1/2
30;Kh7;1/2-1/2
31;Nfh8;1/2-1/2
32;Rg8;1/2-1/2
33;e4;1/2-1/2
34;Rf8;1/2-1/2
35;Qh5;1/2-1/2
36;Rg8;1/2-1/2
37;Qxh6+;1/2-1/2
38;Kxh6;1/2-1/2
39;Be2;1/2-1/2
40;Rf8;1/2-1/2
41;Bg4;1/2-1/2
42;Rg8;1/2-1/2
43;f3;1/2-1/2
44;Rf8;1/2-1/2
45;Rf1;1/2-1/2
46;Rg8;1/2-1/2
47;Rf2;1/2-1/2
48;Rf8;1/2-1/2
49;Re2;1/2-1/2
50;Rg8;1/2-1/2
51;Re3;1/2-1/2
52;Rf8;1/2-1/2
53;Rd3;1/2-1/2
54;Rg8;1/2-1/2
55;Rxd7;1/2-1/2
56;Rf8;1/2-1/2
57;Rd8;1/2-1/2
58;Rg8;1/2-1/2
59;Rxg8;1/2-1/2
60;Kh7;1/2-1/2
61;Rxg7+;1/2-1/2
62;Kh6;1/2-1/2
63;Rxe7;1/2-1/2
64;Kg5;1/2-1/2
65;Rxc7;1/2-1/2
66;Kh6;1/2-1/2
67;Rxb7;1/2-1/2
68;Kg5;1/2-1/2
69;Rxa7;1/2-1/2
70;Kh6;1/2-1/2
71;Bd7;1/2-1/2
72;Kh7;1/2-1/2
73;d4;1/2-1/2
74;Kg8;1/2-1/2
75;Bg5;1/2-1/2
76;Kh7;1/2-1/2
77;Be7;1/2-1/2
78;Kg8;1/2-1/2
79;Rd1;1/2-1/2
80;Kh7;1/2-1/2
81;Rd3;1/2-1/2
82;Kg8;1/2-1/2
83;Rc3;1/2-1/2
84;Kh7;1/2-1/2
85;Rc6;1/2-1/2
86;Kg8;1/2-1/2
87;Rf6;1/2-1/2
88;Kh7;1/2-1/2
89;Rf8;1/2-1/2
90;Kg7;1/2-1/2
91;Re8;1/2-1/2
92;Kh7;1/2-1/2
93;Ra6;1/2-1/2
94;Kg7;1/2-1/2
95;Re6;1/2-1/2
96;Kh7;1/2-1/2
97;a3;1/2-1/2
98;Kg7;1/2-1/2
99;b4;1/2-1/2
100;Kh7;1/2-1/2
101;b5;1/2-1/2
102;Kg7;1/2-1/2
103;b6;1/2-1/2
104;Kh7;1/2-1/2
105;b7;1/2-1/2
106;Kg7;1/2-1/2
107;b8=Q;1/2-1/2
108;Kh7;1/2-1/2
109;Qb5;1/2-1/2
110;Kg7;1/2-1/2
111;Qh5;1/2-1/2
1;e4;1-0
2;e5;1-0
3;Nf3;1-0
4;Nf6;1-0
5;Nxe5;1-0
6;d6;1-0
7;Nf3;1-0
8;Nxe4;1-0
9;d4;1-0
10;Bh3;1-0
11;gxh3;1-0
12;Qc8;1-0
13;d5;1-0
14;a6;1-0
15;Bg2;1-0
16;Rg8;1-0
17;Qe2;1-0
18;f5;1-0
19;Nh4;1-0
20;b6;1-0
21;Nd2;1-0
22;Be7;1-0
23;Qe3;1-0
24;Bxh4;1-0
25;Nxe4;1-0
26;fxe4;1-0
27;Qxe4+;1-0
28;Qe6;1-0
29;dxe6;1-0
30;Bg3;1-0
31;Qxa8;1-0
32;Bxf2+;1-0
33;Ke2;1-0
34;d5;1-0
35;Bg5;1-0
36;d4;1-0
37;Qxb8#;1-0
1;e4;0-1
2;g6;0-1
3;d4;0-1
4;d6;0-1
5;e5;0-1
6;dxe5;0-1
7;dxe5;0-1
8;Qxd1+;0-1
9;Kxd1;0-1
10;Nc6;0-1
11;f4;0-1
12;Nxe5;0-1
13;fxe5;0-1
14;Bg7;0-1
15;Nf3;0-1
16;Bd7;0-1
17;Nc3;0-1
18;O-O-O;0-1
19;Ke1;0-1
20;Bc6;0-1
21;Bf4;0-1
22;Nh6;0-1
23;Rd1;0-1
24;Rxd1+;0-1
25;Nxd1;0-1
26;f6;0-1
27;Ne3;0-1
28;Nf7;0-1
29;Bg3;0-1
30;fxe5;0-1
31;Bc4;0-1
32;Kd8;0-1
33;Bxf7;0-1
34;e4;0-1
35;Nc4;0-1
36;exf3;0-1
37;gxf3;0-1
38;Rf8;0-1
39;Nb6;0-1
